Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Bperu Pe E Pmin Pmax
      88  0.00000E+00  0.00000E+000  2.88018E-020  1.49542E-014 -4.12614E-015 -7.62545E-015  3.18488E-004 -3.23613E-004  1.81817E-004  9.57843E-007  2.72665E-006  9.86263E-007  2.45957E-006  1.43902E-005  1.49736E-007  2.31637E-002
      89  0.00000E+00  0.00000E+000  2.87327E-020  1.47705E-014 -4.05774E-015 -7.53042E-015  3.26637E-004 -3.35364E-004  1.86483E-004  9.49097E-007  2.61902E-006  7.77968E-007  2.45302E-006  1.41981E-005  1.44339E-007  2.33593E-002
      90  0.00000E+00  0.00000E+000  2.86608E-020  1.45821E-014 -3.98997E-015 -7.43055E-015  3.34795E-004 -3.47205E-004  1.91190E-004  9.40349E-007  2.51481E-006  5.94338E-007  2.44642E-006  1.40058E-005  1.39793E-007  2.35281E-002
      91  0.00000E+00  0.00000E+000  2.85864E-020  1.43905E-014 -3.92733E-015 -7.32625E-015  3.42952E-004 -3.59126E-004  1.95938E-004  9.31608E-007  2.41402E-006  4.33854E-007  2.43980E-006  1.38134E-005  1.33982E-007  2.36793E-002
      92  0.00000E+00  0.00000E+000  2.85096E-020  1.41971E-014 -3.86709E-015 -7.21686E-015  3.51097E-004 -3.71118E-004  2.00725E-004  9.22887E-007  2.31663E-006  3.61730E-007  2.43320E-006  1.36211E-005  1.25846E-007  2.38172E-002
      93  0.00000E+00  0.00000E+000  2.84309E-020  1.40031E-014 -3.81358E-015 -7.10339E-015  3.59219E-004 -3.83172E-004  2.05547E-004  9.14201E-007  2.22262E-006  2.92673E-007  2.42664E-006  1.34294E-005  1.17494E-007  2.39437E-002
      94  0.00000E+00  0.00000E+000  2.83502E-020  1.38096E-014 -3.76299E-015 -6.98483E-015  3.67307E-004 -3.95274E-004  2.10402E-004  9.05565E-007  2.13198E-006  2.41349E-007  2.42013E-006  1.32384E-005  1.10106E-007  2.40605E-002
      95  0.00000E+00  0.00000E+000  2.82681E-020  1.36177E-014 -3.72024E-015 -6.86306E-015  3.75347E-004 -4.07409E-004  2.15290E-004  8.96995E-007  2.04471E-006 -1.46799E-008  2.41371E-006  1.30485E-005  1.03629E-007  2.41759E-002
      96  0.00000E+00  0.00000E+000  2.81847E-020  1.34282E-014 -3.68085E-015 -6.73698E-015  3.83326E-004 -4.19563E-004  2.20205E-004  8.88506E-007  1.96076E-006 -4.63594E-008  2.40739E-006  1.28598E-005  9.80339E-008  2.42900E-002
      97  0.00000E+00  0.00000E+000  2.81001E-020  1.32420E-014 -3.64951E-015 -6.60862E-015  3.91231E-004 -4.31716E-004  2.25149E-004  8.80112E-007  1.88014E-006 -5.27079E-007  2.40118E-006  1.26727E-005  9.32275E-008  2.44028E-002
